,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
89,6936,6561,6422,4256,3459,7340,8161,6425,4429,3705,-404,-1600,-3,-173,-246,-2426,radiant,6664.0,7695.0,6651.0,8048.0,6253.0,6398.0,3910.0,4370.0,3407.0,3676.0
90,7695,5754,5947,4913,3076,5398,5584,5128,3176,2784,2297,170,819,1737,292,5315,radiant,6975.0,5394.0,5391.0,5567.0,5825.0,5280.0,4614.0,3452.0,2993.0,2867.0
91,6877,7223,6402,4310,3796,7073,5964,4954,3255,2942,-196,1259,1448,1055,854,4420,radiant,6858.0,7326.0,7123.0,6131.0,6352.0,4873.0,3691.0,3490.0,3541.0,3152.0
92,8759,6696,5780,4757,3404,5476,5534,4261,1985,2349,3283,1162,1519,2772,1055,9791,radiant,8799.0,5170.0,6800.0,5033.0,6015.0,4183.0,5063.0,2036.0,3453.0,2401.0
93,8220,7914,6068,4046,3005,5187,4984,5099,2459,2203,3033,2930,969,1587,802,9321,radiant,8333.0,4869.0,7643.0,4432.0,6055.0,5205.0,4076.0,2466.0,2833.0,2143.0
94,3358,4308,4636,2009,2505,8811,8250,7494,4077,4003,-5453,-3942,-2858,-2068,-1498,-15819,dire,3580.0,8427.0,4592.0,8035.0,4704.0,7417.0,2170.0,3878.0,2619.0,4163.0
95,7054,5868,6533,2896,3093,6216,5707,5199,2976,3426,838,161,1334,-80,-333,1920,dire,6688.0,5899.0,5758.0,5675.0,6118.0,5025.0,2972.0,3243.0,3255.0,3501.0
96,6537,6386,6944,2867,3251,7266,6976,6197,4436,3624,-729,-590,747,-1569,-373,-2514,dire,5793.0,7232.0,5989.0,7398.0,6315.0,6564.0,3104.0,4667.0,3077.0,3638.0
97,5710,5847,6063,5802,4121,8876,8168,5700,4689,3021,-3166,-2321,363,1113,1100,-2911,dire,5515.0,8528.0,5260.0,8388.0,6322.0,5783.0,5578.0,4480.0,3828.0,3151.0
98,6627,5800,3434,5841,2570,7597,6062,5192,3597,3001,-970,-262,-1758,2244,-431,-1177,dire,6757.0,7727.0,5780.0,5822.0,3328.0,4962.0,5608.0,3577.0,2616.0,3008.0
