match_id,hero_id,lane,lane_role,gold_t,radiant_team,dire_team,radiant_win,team,max_g,pos
7593018617,89,3,1,"[0, 290, 530, 731, 1116, 1553, 1868, 2358, 2716, 3190, 3782, 4407, 5054, 5825, 6302, 6733, 7464, 7622, 8611, 9506, 9873, 10815, 11788, 12817, 13902, 15419, 16700, 16969, 18241, 19319, 20300]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",True,dire,20300,1
7593018617,9,3,1,"[0, 270, 458, 596, 807, 1034, 1392, 1673, 1918, 2255, 2674, 3064, 3485, 3846, 4122, 4607, 5050, 5418, 5575, 5957, 6230, 6505, 7002, 7333, 7474, 8216, 8527, 9443, 9839, 10403, 10933]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",True,dire,10933,5
7593018617,5,1,1,"[100, 313, 449, 587, 677, 925, 1015, 1185, 1275, 1448, 1846, 2084, 2228, 2323, 2555, 2733, 3214, 3515, 3699, 3857, 4410, 4687, 5037, 5279, 5559, 5729, 5970, 6396, 6567, 6738, 7202]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",False,radiant,7202,5
7593018617,82,1,1,"[0, 204, 441, 836, 1136, 1496, 2064, 2269, 2764, 3467, 4081, 5057, 5526, 6354, 7485, 8192, 9405, 9956, 11067, 12160, 13216, 13772, 14392, 15360, 16715, 17401, 18566, 19564, 19660, 20021, 20276]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",False,radiant,20276,1
7593018617,50,2,2,"[0, 244, 497, 787, 1248, 1623, 1981, 2518, 2929, 3276, 3589, 4200, 4756, 5290, 5576, 6080, 6685, 7208, 7882, 8542, 9298, 9724, 10722, 10971, 11361, 11456, 12016, 12111, 12891, 13319, 13592]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",False,radiant,13592,3
7593018617,129,3,3,"[0, 291, 576, 821, 1204, 1536, 1991, 2600, 3106, 3604, 4286, 4949, 5396, 5866, 6743, 7333, 7734, 8364, 8788, 9539, 9913, 10777, 11338, 11697, 11967, 12164, 12258, 12645, 12863, 13062, 14022]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",False,radiant,14022,2
7593018617,79,3,3,"[0, 170, 260, 350, 490, 620, 710, 845, 935, 1042, 1380, 1705, 2161, 2256, 2507, 2851, 3211, 3503, 3687, 3860, 4335, 4743, 5131, 5373, 5653, 5823, 6653, 7043, 7375, 7546, 7971]","[5, 50, 82, 129, 79]","[89, 9, 23, 123, 49]",False,radiant,7971,4
7593062809,86,1,3,"[0, 170, 374, 727, 896, 1036, 1175, 1422, 1643, 1924, 2110, 2283, 2761, 2905, 3305, 3400, 3706, 4312, 4434, 5006, 5224, 5660, 6230, 6400, 6764, 7348, 7820, 8190, 8926, 9226, 9563, 10033, 10890, 10999, 11163, 11263, 11401, 12115, 13283, 13712, 14216, 15023]","[19, 12, 96, 26, 61]","[86, 73, 100, 23, 94]",True,dire,15023,5
7593062809,73,1,3,"[0, 250, 703, 1246, 1637, 1810, 2380, 2884, 3210, 4407, 4985, 5847, 6399, 7458, 8397, 9519, 10186, 11221, 11911, 13581, 14988, 15161, 16374, 17588, 18582, 19813, 20869, 21262, 22215, 23114, 23634, 24041, 24666, 25976, 26076, 27140, 28149, 29474, 30284, 31309, 31853, 33147]","[19, 12, 96, 26, 61]","[86, 73, 100, 23, 94]",True,dire,33147,1
7593062809,23,2,2,"[0, 279, 603, 904, 1192, 1518, 1825, 2809, 3462, 4067, 4642, 5275, 5801, 6130, 6426, 6917, 7813, 8259, 8671, 9741, 10268, 10373, 10869, 11272, 11489, 12297, 12714, 13175, 13622, 13915, 14694, 15121, 15635, 15871, 16024, 16713, 16813, 17598, 18357, 18903, 19368, 20407]","[19, 12, 96, 26, 61]","[86, 73, 100, 23, 94]",True,dire,20407,3
